time,open,high,low,close,Volume,ATR
1737331200,252.565,252.88,249.426,249.814,9865.2,NaN
1737331320,249.814,249.942,247.201,248.921,19091.6,NaN
1737331440,248.921,252.379,247.567,252.145,13057.3,NaN
1737331560,252.145,252.857,249.966,251.664,10923.5,NaN
1737331680,251.664,252.053,246.894,247.537,16160.7,NaN
1737331800,247.537,249.957,246.234,249.399,14831.1,NaN
1737331920,249.399,249.544,246.248,246.99,6005.8,NaN
1737332040,246.99,250.991,246.99,250.551,9333.3,NaN
1737332160,250.551,250.634,247.696,248.88,7393.6,NaN
1737332280,248.88,249.1,246.673,246.673,6386.5,NaN
1737332400,246.673,247.729,244.7,247.381,15871.8,NaN
1737332520,247.381,249.96,246.933,249.59,12046.8,NaN
1737332640,249.59,251.474,249,251.231,10380.1,NaN
1737332760,251.231,251.41,247.143,247.713,8588.5,3.4456428571428575
1737332880,247.713,248.253,246.667,247.303,4705.1,3.312811224489795
1737333000,247.303,247.333,245.278,246.778,13315.9,3.2229675655976675
1737333120,246.778,250.843,246.398,250.664,14028.7,3.310255596626405
1737333240,250.664,250.698,246.12,246.559,24906.5,3.400808768295948
1737333360,246.559,248.39,244.101,244.303,12478.9,3.464250999131951
1737333480,244.303,244.712,241.683,242.713,24747.3,3.433161642051097
1737333600,242.713,244.772,242.099,242.903,19317.6,3.3788643819045903
1737333720,242.903,246,241.8,245.732,11134.4,3.4375169260542617
1737333840,245.732,245.732,242.044,242.409,4178.4,3.455408574193242
1737333960,242.409,242.7,238.931,239.065,17622.7,3.477807961750866
1737334080,239.065,240.54,238.131,238.469,9860.3,3.401464535911518
1737334200,238.469,242.164,238.126,238.952,19632.1,3.44693135477498
1737334320,238.952,241.234,236.729,241.08,20831.4,3.5225076865767666
1737334440,241.08,241.6,238.701,239.328,5645.3,3.477971423249855
1737334560,239.328,240.03,236.789,236.947,8786.3,3.4610448930177236
1737334680,236.947,237.909,235.285,236.045,13701.1,3.4012559720878857
1737334800,236.045,238.464,235.713,238.008,10201.7,3.354809116938751
1737334920,238.008,241.6,238.008,239.48,8685.3,3.371751322871696
1737335040,239.48,240.893,239.35,240.372,3659.9,3.2411262283808613
1737335160,240.372,242.551,240.152,241.261,5088.8,3.1809743549250853
1737335280,241.261,243.661,241.186,242.139,6444.9,3.1305476152875786
