time,open,high,low,close,Volume,ATR
1737336000,25.096,25.096,24.934,25.014,980,0.1744324520407336
1737336120,25.014,25.102,24.989,25.05,160,0.17004441975210974
1737336240,25.05,25.105,24.992,25.051,1201,0.16596981834124475
1737336360,25.051,25.109,25.009,25.064,1098,0.16125768845972738
1737336480,25.064,25.144,25.041,25.044,375,0.15709642499831813
1737336600,25.044,25.14,24.992,25.054,122,0.1564466803555811
1737336720,25.054,25.176,24.978,25.122,237,0.1594147746158965
1737336840,25.122,25.223,25.122,25.201,95,0.15524229071476098
1737336960,25.201,25.288,25.201,25.275,1014,0.1503678413779923
1737337080,25.275,25.326,25.218,25.218,887,0.14734156699385004
1737337200,25.218,25.219,25.187,25.187,118,0.13910288363714646
1737337320,25.187,25.187,25.038,25.038,83,0.1398098205202075
1737337440,25.038,25.055,24.993,25.034,66,0.13425197619733562
1737337560,25.034,25.115,25.003,25.115,108,0.13266254932609725
1737337680,25.115,25.116,25.003,25.026,64,0.13125808151709026
1737337800,25.026,25.031,24.895,24.895,1014,0.13159678998015517
1737337920,24.895,25.038,24.889,24.983,176,0.13283987641014414
1737338040,24.983,25.054,24.972,25.051,65,0.1292084566665622
1737338160,25.051,25.125,25.026,25.125,74,0.12705070976180777
1737338280,25.125,25.199,25.092,25.168,753,0.12561851620739312
1737338400,25.168,25.282,25.114,25.282,131,0.1286457650497221
1737338520,25.282,25.413,25.282,25.315,1922,0.1288139246890277
1737338640,25.315,25.424,25.315,25.424,54,0.127398644354097
1737338760,25.424,25.472,25.424,25.47,45,0.12172731261451877
1737338880,25.47,25.5,25.453,25.46,100,0.11638964742776747
1737339000,25.46,25.55,25.456,25.55,136,0.11479038689721274
1737339120,25.55,25.596,25.512,25.588,1469,0.11259107354741181
1737339240,25.588,25.626,25.555,25.626,206,0.10962028257973964
1737339360,25.626,25.761,25.626,25.757,499,0.11143311953832953
1737339480,25.757,25.804,25.757,25.774,470,0.10683075385702008
1737339600,25.774,25.823,25.774,25.811,117,0.10269998572437576
1737339720,25.811,25.968,25.811,25.966,1725,0.10657855817263463
1737339840,25.966,25.966,25.845,25.886,288,0.10760866116030375
1737339960,25.886,25.976,25.88,25.976,255,0.10677947107742491
1737340080,25.976,25.98,25.874,25.941,271,0.1067237945718947
1737340200,25.941,25.942,25.86,25.941,255,0.10495780924533084
1737340320,25.941,25.986,25.889,25.982,203,0.10438939429923587
1737340440,25.982,26.045,25.968,26.045,410,0.10243300899214772
1737340560,26.045,26.045,25.878,25.906,670,0.10704493692128014
1737340680,25.906,25.914,25.809,25.875,148,0.1068988699983316
1737340800,25.875,25.878,25.751,25.769,543,0.1083346649984507
1737340920,25.769,25.787,25.686,25.779,1594,0.10781076035570415
1737341040,25.779,25.933,25.779,25.933,1079,0.11110999175886814
1737341160,25.933,26.016,25.915,25.979,298,0.1103878494903775
1737341280,25.979,26.083,25.979,26.029,575,0.10993157452677904
1737341400,26.029,26.115,26.029,26.049,256,0.10822217634629472
1737341520,26.049,26.054,25.933,25.947,295,0.109134878035845
1737341640,25.947,25.947,25.796,25.796,121,0.11212524389042748
1737341760,25.796,25.9,25.796,25.827,499,0.11154486932682546
1737341880,25.827,25.916,25.798,25.879,90,0.11200595008919523
1737342000,25.879,25.879,25.73,25.73,170,0.11464838222568134
1737342120,25.73,25.772,25.69,25.772,964,0.11231635492384676
1737342240,25.772,25.843,25.772,25.84,102,0.10936518671500066
1737342360,25.84,25.891,25.789,25.837,55,0.10883910194964323
1737342480,25.837,25.837,25.702,25.728,66,0.11070773752466857
1737342600,25.728,25.812,25.723,25.789,39,0.10915718484433526
1737342720,25.789,25.84,25.758,25.84,42,0.10721738592688279
1737342840,25.84,25.923,25.84,25.923,56,0.10548757264639105
1737342960,25.923,25.979,25.923,25.953,180,0.10195274602879176
1737343080,25.953,25.995,25.942,25.954,2696,0.09845612131244955
1737343200,25.954,26.089,25.938,25.938,1933,0.10220925550441742
1737343320,25.938,25.978,25.865,25.872,581,0.10298002296838783
1737343440,25.872,25.874,25.799,25.847,69,0.10098144989921722
1737343560,25.847,25.847,25.775,25.784,83,0.09891134633498762
1737343680,25.784,25.797,25.748,25.796,67,0.09534625016820275
1737343800,25.796,25.804,25.742,25.804,195,0.09296437515618809
1737343920,25.804,25.858,25.804,25.856,223,0.0901812055021748
1737344040,25.856,25.967,25.849,25.946,121,0.09216826225201935
1737344160,25.946,25.994,25.935,25.986,61,0.08979910066258946
1737344280,25.986,25.986,25.863,25.866,60,0.09217059347240457
1737344400,25.866,25.869,25.837,25.864,55,0.08787269393866139
1737344520,25.864,25.97,25.864,25.944,281,0.08916750151447116
1737344640,25.944,25.986,25.936,25.98,42,0.08636982283486613
1737344760,25.98,25.997,25.928,25.976,171,0.0851291212038042
1737344880,25.976,25.976,25.87,25.882,68,0.08661989826067519
1737345000,25.882,25.908,25.854,25.859,121,0.08428990552776996
1737345120,25.859,25.906,25.859,25.884,641,0.08162634084721476
1737345240,25.884,25.929,25.884,25.907,225,0.07901017364384215
1737345360,25.907,25.976,25.907,25.914,28,0.0782951612407105
1737345480,25.914,26.012,25.902,26.012,115,0.0805597925806597
1737345600,26.012,26.012,25.882,25.882,311,0.08409123596775538
1737345720,25.882,25.903,25.836,25.836,88,0.08287043339863
1737345840,25.836,25.836,25.73,25.744,91,0.08452254529872771
1737345960,25.744,25.887,25.739,25.799,649,0.08905664920596143
1737346080,25.799,25.844,25.759,25.801,72,0.0887668885483928
1737346200,25.801,25.896,25.8,25.884,120,0.08928353936636475
1737346320,25.884,25.955,25.884,25.908,82,0.08797757226876712
1737346440,25.908,25.927,25.859,25.927,43,0.08655060282099789
1737346560,25.927,26.035,25.924,25.927,172,0.08829698833378379
1737346680,25.927,25.985,25.91,25.983,443,0.08734720345279919
1737346800,25.983,26.027,25.908,26.027,128,0.08960811749188494
1737346920,26.027,26.042,25.979,25.984,195,0.08770753767103619
1737347040,25.984,25.998,25.907,25.956,134,0.08794271355167653
1737347160,25.956,25.978,25.874,25.921,92,0.08908966258369984
1737347280,25.921,25.992,25.894,25.99,69,0.0897261152562929
1737347400,25.99,26.032,25.968,25.996,89,0.08788853559512912
1737347520,25.996,26.011,25.928,25.991,92,0.08753935448119121
1737347640,25.991,26.043,25.951,26.043,60,0.08785797201824888
1737347760,26.043,26.111,26.043,26.111,353,0.08643954544551692
1737347880,26.111,26.127,26.032,26.035,69,0.08705100648512278
1737348000,26.035,26.045,25.98,26.045,146,0.08547593459332838
1737348120,26.045,26.124,26.035,26.119,19,0.08572765355094768
1737348240,26.119,26.159,26.116,26.143,468,0.0826756782973085
1737348360,26.143,26.27,26.139,26.27,379,0.08612741556178648
1737348480,26.27,26.348,26.205,26.209,516,0.09018974302165893
1737348600,26.209,26.209,26.103,26.11,149,0.09131904709154029
1737348720,26.11,26.127,26.057,26.076,515,0.08979625801357315
1737348840,26.076,26.077,26,26.018,111,0.08888223958403232
1737348960,26.018,26.063,26.001,26.048,81,0.08696207961374414
1737349080,26.048,26.075,26.042,26.042,176,0.0831076453556194
1737349200,26.042,26.095,26.019,26.08,80,0.08259995640164662
1737349320,26.08,26.179,26.08,26.175,88,0.0837713880872433
1737349440,26.175,26.2,26.155,26.19,160,0.08100200322386865
1737349560,26.19,26.314,26.156,26.314,133,0.08650186013644955
1737349680,26.314,26.508,26.314,26.494,835,0.09418029869813165
1737349800,26.494,26.62,26.483,26.6,1373,0.09723884879112228
1737349920,26.6,26.633,26.439,26.456,242,0.10415035959175634
1737350040,26.456,26.456,26.38,26.41,173,0.10213961962091664
1737350160,26.41,26.467,26.382,26.408,2424,0.10091536107656526
1737350280,26.408,26.432,26.287,26.321,83,0.10406426385681057
1737350400,26.321,26.344,26.242,26.255,301,0.10391681643846698
1737350520,26.255,26.355,26.255,26.349,108,0.10363704383571945
1737350640,26.349,26.349,26.272,26.315,132,0.10173439784745389
1737350760,26.315,26.33,26.25,26.252,41,0.10018194085834993
1737350880,26.252,26.33,26.251,26.292,77,0.0986689450827533
1737351000,26.292,26.317,26.151,26.189,140,0.10347830614827094
1737351120,26.189,26.221,26.157,26.164,100,0.10065842713768017
1737351240,26.164,26.164,26.08,26.09,396,0.09946853948498895
1737351360,26.09,26.112,26.037,26.072,930,0.09772078666463255
1737351480,26.072,26.093,26.037,26.069,590,0.09474073047430172
1737351600,26.069,26.148,26.069,26.148,105,0.09361639258328022
1737351720,26.148,26.15,26.099,26.105,43,0.09057236454161723
1737351840,26.105,26.15,26.105,26.106,100,0.0873171956457873
1737351960,26.106,26.138,26.063,26.063,57,0.08643739595680269
1737352080,26.063,26.213,26.063,26.213,429,0.09097758195988837
1737352200,26.213,26.307,26.213,26.24,151,0.09119346896275331
1737352320,26.24,26.307,26.24,26.262,53,0.08946536403684237
1737352440,26.262,26.3,26.237,26.237,35,0.0875749808913538
1737352560,26.237,26.25,26.221,26.25,30,0.08339105368482853
1737352680,26.25,26.3,26.25,26.28,464,0.08100597842162656
1737352800,26.28,26.388,26.28,26.387,31,0.08293412282008185
1737352920,26.387,26.47,26.387,26.465,105,0.08293882833293302
1737353040,26.465,26.465,26.336,26.336,69,0.0862289120234379
1737353160,26.336,26.401,26.336,26.344,59,0.08471256116462099
